Name,Count,Source,Type,EN ISO 19115,Data theme,Countries
Vehicle Speed,238,DCAT,Theme,Transportation,TRAN,
"Sport, Loisirs",236,OpenDataSoft,Theme,,EDUC,
Madagascar,235,CKAN,Theme,,,Madagascar
Mauritania,235,CKAN,Theme,,,Mauritania
GeoscientificInformation,235,Geonetwork,Theme,Geoscientific Information,,
Aménagement du territoire,234,OpenDataSoft,Theme,Planning / Cadastre,,
Labor Market,232,CKAN,Theme,Economy,ECON,
Census,232,DCAT,Theme,Society,SOCI,
Myanmar,229,CKAN,Theme,,,Myanmar
Zimbabwe,229,CKAN,Theme,,,Zimbabwe
economia,228,CKAN,Theme,Economy,ECON,
Demographics,228,DCAT,Theme,Society,SOCI,
Pakistan,227,CKAN,Theme,,,Pakistan
Territoires,227,OpenDataSoft,Theme,Planning / Cadastre,,
Economie,227,OpenDataSoft,Theme,Economy,ECON,
land use and development,225,CKAN,Theme,Planning / Cadastre,,
Medio Ambiente,223,CKAN,Theme,Environment,ENVI,
geophysics,222,Geonetwork,Theme,Geoscientific Information,,
Ecuador,220,CKAN,Theme,,,Ecuador
Planning & Development,219,CKAN,Theme,Planning / Cadastre,,
Iraq,217,CKAN,Theme,,,Iraq
Energy,216,CKAN,Theme,,ENER,
Guatemala,215,CKAN,Theme,,,Guatemala
Meteo,214,CKAN,Theme,Environment,ENVI,
Radiation,213,CKAN,Theme,Environment,ENVI,
Population,213,OpenDataSoft,Theme,Society,SOCI,
Agriculture,213,OpenDataSoft,Theme,Farming,AGRI,
Rwanda,211,CKAN,Theme,,,Rwanda
"Transports, Déplacements, Mobilité",210,OpenDataSoft,Theme,Transportation,TRAN,
"Éducation, Formation, Recherche, Enseignement",209,OpenDataSoft,Theme,,EDUC,
Transparency,208,CKAN,Theme,,GOVE,
Education Outcome,208,CKAN,Theme,,EDUC,
"Économie, Business, PME, Développement économique, Emploi",208,OpenDataSoft,Theme,Economy,ECON,
Housing,207,CKAN,Theme,"Structure,Planning / Cadastre",,
Communications,205,CKAN,Theme,Utilities / Communication,,
GIS/Maps,205,DCAT,Theme,Imagery / Base Maps / Earth Cover,,
Housing & Development,205,DCAT,Theme,Structure,,
Energi,204,OpenDataSoft,Theme,,ENER,
Crude Oil & Refined Products,204,OpenDataSoft,Theme,,ECON,
交通,203,CKAN,Theme,Transportation,TRAN,
Mobility,202,CKAN,Theme,Transportation,TRAN,
Liberia,199,CKAN,Theme,,,Liberia
人口減少・少子高齢化,199,CKAN,Theme,Society,SOCI,
Yemen,198,CKAN,Theme,,,Yemen
"Honduras and regional: Hurricane Eta and Iota, November 2020",196,CKAN,Theme,,,Honduras
Honduras,196,CKAN,Theme,,,Honduras
ทรัพยากรธรรมชาติและสิ่งแวดล้อม,196,CKAN,Theme,Environment,ENVI,
Territoires et régions,195,OpenDataSoft,Theme,Planning / Cadastre,REGI,
Sierra Leone,194,CKAN,Theme,,,Sierra Leone
United Republic of Tanzania,194,CKAN,Theme,,,Tanzania
Benin,193,CKAN,Theme,,,Benin
Administration & Finance,190,DCAT,Theme,Economy,"GOVE,ECON",
Weather Conditions,188,CKAN,Theme,Environment,ENVI,
Finanzas,187,CKAN,Theme,Economy,ECON,
"The Bahamas: Hurricane Dorian, September 2019",186,CKAN,Theme,,,Bahamas
Freedom of Information,186,CKAN,Theme,,GOVE,
Business and Economy,186,CKAN,Theme,Economy,ECON,
Canada,184,CKAN,Theme,,,Canada
Urbanisme et Logements,184,OpenDataSoft,Theme,,REGI,
